timestamp,NO2,month,day,hour
449008,-0.1267281902769736,3,22,16
449009,0.01582341946797881,3,22,17
449010,-0.07057149552896202,3,22,18
449011,-0.07921098702865614,3,22,19
449012,-0.10080971577789136,3,22,20
449013,-0.08353073277850319,3,22,21
449014,-0.07057149552896202,3,22,22
449015,-0.07921098702865614,3,22,23
449016,-0.1752900655080073,3,23,0
449017,-0.19688879425724248,3,23,1
449018,-0.17960981125785433,3,23,2
449019,-0.19256904850739545,3,23,3
449020,-0.17960981125785433,3,23,4
449021,-0.18824930275754842,3,23,5
449022,-0.13209260800953682,3,23,6
449023,-0.10185438776060753,3,23,7
449024,-0.08457540476121936,3,23,8
449025,-0.05433718451229007,3,23,9
449026,-0.015459472763666689,3,23,10
449027,-0.09753464201076048,3,23,11
449028,-0.13209260800953682,3,23,12
449029,-0.13209260800953682,3,23,13
449030,-0.15369133675877208,3,23,14
449031,-0.16233082825846615,3,23,15
449032,-0.19688879425724248,3,23,16
449033,-0.18824930275754842,3,23,17
449034,-0.12345311650984274,3,23,18
449035,-0.15801108250861912,3,23,19
449036,-0.13641235375938388,3,23,20
449037,-0.11049387926030162,3,23,21
449038,-0.06297667601198415,3,23,22
449039,-0.09753464201076048,3,23,23
449040,-0.005574298976200227,3,24,0
449041,-0.048771756474670636,3,24,1
449042,-0.018533536225741352,3,24,2
449043,-0.048771756474670636,3,24,3
449044,-0.0444520107248236,3,24,4
449045,-0.048771756474670636,3,24,5
449046,0.03330341277242315,3,24,6
449047,0.05058239577181134,3,24,7
449048,0.1283378192690581,3,24,8
449049,0.17585502251737556,3,24,9
449050,0.3140868865124809,3,24,10
449051,0.15857603951798738,3,24,11
449052,0.0030651925234938568,3,24,12
449053,-0.10492845122268218,3,24,13
449054,-0.1265271799719174,3,24,14
449055,-0.13084692572176443,3,24,15
449056,-0.12220743422207035,3,24,16
449057,-0.10924819697252923,3,24,17
449058,-0.08764946822329403,3,24,18
449059,-0.10924819697252923,3,24,19
449060,-0.08764946822329403,3,24,20
449061,-0.027173027725435436,3,24,21
449062,0.07218112452104654,3,24,22
449063,0.15425629376814035,3,24,23
449064,0.0737526553043811,3,25,0
449065,0.0521539265551459,3,25,1
449066,-0.004002768192865661,3,25,2
449067,-0.03856073419164199,3,25,3
449068,-0.029921242691947913,3,25,4
449069,-0.04288047994148904,3,25,5
449070,-0.012642259692559745,3,25,6
449071,0.030555197805910674,3,25,7
449072,0.06943290955453407,3,25,8
449073,0.10399087555331034,3,25,9
449074,0.004636723306828423,3,25,10
449075,-0.10335692043934762,3,25,11
449076,-0.14223463218797103,3,25,12
449077,-0.16815310668705327,3,25,13
449078,-0.16815310668705327,3,25,14
449079,-0.17679259818674736,3,25,15
449080,-0.16383336093720624,3,25,16
449081,-0.16383336093720624,3,25,17
449082,-0.1724728524369003,3,25,18
449083,-0.1724728524369003,3,25,19
449084,-0.15951361518735918,3,25,20
449085,-0.1335951406882769,3,25,21
449086,-0.11631615768888875,3,25,22
449087,-0.17679259818674736,3,25,23
449088,-0.11328554214902856,3,26,0
449089,-0.10896579639918151,3,26,1
449090,-0.11760528789887559,3,26,2
449091,-0.11328554214902856,3,26,3
449092,-0.10464605064933447,3,26,4
449093,-0.10464605064933447,3,26,5
449094,-0.07440783040040519,3,26,6
449095,-0.03553011865178181,3,26,7
449096,-0.018251135652393644,3,26,8
449097,-0.018251135652393644,3,26,9
449098,-0.00961164415269956,3,26,10
449099,-0.08304732190009925,3,26,11
449100,-0.10032630489948742,3,26,12
449101,-0.10032630489948742,3,26,13
449102,-0.09600655914964039,3,26,14
449103,-0.09168681339979334,3,26,15
449104,-0.09168681339979334,3,26,16
449105,-0.08304732190009925,3,26,17
449106,-0.08304732190009925,3,26,18
449107,-0.07872757615025222,3,26,19
449108,-0.09168681339979334,3,26,20
449109,-0.0873670676499463,3,26,21
449110,-0.0657683389007111,3,26,22
449111,0.007667338846688607,3,26,23
449112,0.04246856371459853,3,27,0
449113,0.020869834965363324,3,27,1
449114,0.007910597715822199,3,27,2
449115,-0.005048639533718927,3,27,3
449116,-0.013688131033413011,3,27,4
449117,0.007910597715822199,3,27,5
449118,0.04246856371459853,3,27,6
449119,0.08566602121306897,3,27,7
449120,0.025189580715210366,3,27,8
449121,0.029509326465057408,3,27,9
449122,0.01223034346566924,3,27,10
449123,0.01223034346566924,3,27,11
449124,0.007910597715822199,3,27,12
449125,0.007910597715822199,3,27,13
